ID,NAME
725,Cranberry Smoothie
726,Cream Bun
727,Cream Cheese Bagel with Chia Seeds
728,Cream Chicken
729,Cream Paneer
730,Cream Roll
731,Cream Waffle
732,Creamy Chicken Sandwich
733,Creamy Oreo Sundae
734,Crispy Chicken
735,Crispy Chicken Corn Dog
736,Crispy Chilli Babycorn
737,Crispy Chilli Pepper Corn
738,Crispy Chilli Potato
739,Crispy Mushroom
740,Crispy Schezwan Vegetables
741,Crunchy Taco Bowl
742,Crunchy Taco Supreme Non Veg
743,Crunchy Taco Supreme Veg
744,Crunchy Wheat Taco
745,Crushers
746,Cucumber
747,Cucumber Dosa
748,Cupcakes
749,Curd
750,Curd Rice
751,Curd Vada
752,Curry
753,Curry Leaf Dosa
754,Curry Leaf Rice
755,Curry Leaves Rice
756,Custard
757,Custard Apple Milkshake
758,Cut Fruits
759,Cutlet
760,Cutlet Chaat
761,Cutlet Chana
762,Dabeli
763,Dahi
764,Dahi Bhalle Chaat
765,Dahi Bhel Chaat
766,Dahi Bhel Puri
767,Dahi Kachori
768,Dahi Papdi Chaat
769,Dahi Puri
770,Dahi Sev Puri
771,Dahi Vada
772,Dakshini Pulao
773,Dal
774,Dal Bati
775,Dal Bati Churma
776,Dal Curry
777,Dal Fry
778,Dal Kachori
779,Dal Khichdi
780,Dal Makhani
781,Dal Pappu
782,Dal Paratha
783,Dal Pulao
784,Dal Tadka
785,Dal Vada
786,Danish Pastry
787,Dark Chocolate
788,Dark Chocolate Waffle
789,Dark White Waffle
790,Date Banana Walnut Cake
791,Dates Milkshake
792,Dates Pie
793,Dates Walnut Cake
794,Death By Chocolate
795,Desi Butter Chicken
796,Dhaba Rice
797,Dhal Tadukan
798,Dhokla
799,Dhokla Sandwich
800,Dilkush
801,Dindigul Chicken Biryani
802,Dindigul Egg Biryani
803,Diwali Special Non Veg Meals
804,Achari Do Pyaza Pizza
805,Al Fungi Gourmet Pizza
806,Blazing Chicken Paprika Pizza
807,Blazing Onion and Paprika Pizza
808,Cappuccino
809,Champaran Mutton Pizza
810,Champaran Veg Pizza
811,Chole Samosa
812,Cheese Volcano BBQ Chicken Pizza
813,Cheese Volcano Blazing Chicken Pizza
814,Cheese Volcano Chicken Delight Pizza
815,Cheese Volcano Double Chicken Pizza
816,Cheese Volcano Farm House Pizza
817,Cheese Volcano Peppy Paneer Pizza
818,Cheese Volcano Veggie Paradise Pizza
819,Cheese and Corn Pizza
820,Chicken Dominator Pizza
821,Chicken Fiesta Pizza
822,Chicken Golden Delight Pizza
823,Chicken Keema Paratha Pizza
824,Chicken Pepperoni Gourmet Pizza
825,Chicken Pepperoni Pizza
826,Chicken Sausage Pizza
827,Club Cheese Sandwich
828,Corn Cheese Volcano Pizza
829,Corn and Cheese Paratha Pizza
830,Double Cheese Margherita Pizza
831,Farmhouse Pizza
832,Fiery Jalapeno and Paprika Pizza
833,Fiery Sausage Paprika Pizza
834,Indi Chicken Tikka Pizza
835,Indi Tandoori Paneer Pizza
836,Kosha Mangsho Pizza
837,Kosha Veg Pizza
838,Malai Chingri Pizza
839,Malai Soya Chaap
840,Mexican Green Wave Pizza
